"";"Value";"Std.Error";"DF";"t-value";"p-value"
"(Intercept)";0,181429120773084;0,00404315585095039;762;44,8731454985682;4,32731811685631e-216
"stimulusangry";0,00378821316060497;0,00175935360956146;762;2,15318463554875;0,0316173313736788
"stimulushappy";0,0034782861957493;0,00175796748917293;762;1,97858391419158;0,0482225711231492
"conditionSleepDeprived";-0,00365194138190001;0,00272805758133508;762;-1,33865993404464;0,181080647100551
"AgeGroupOld";0,00918569599822956;0,00808631170190078;48;1,13595621055151;0,261614904616283
"stimulusangry:conditionSleepDeprived";0,0040234709268608;0,00351917740546658;762;1,14329869264643;0,253273655796435
"stimulushappy:conditionSleepDeprived";0,00438828129940437;0,00351625086890883;762;1,24800006114642;0,212414384989308
"stimulusangry:AgeGroupOld";-0,0104500398823702;0,00351870721912291;762;-2,96985205975023;0,00307298525394765
"stimulushappy:AgeGroupOld";-0,0105287717917165;0,00351593497834584;762;-2,9945866054298;0,00283714225048545
"conditionSleepDeprived:AgeGroupOld";-0,00219687216183142;0,00545611516267017;762;-0,402644023509998;0,687323049445843
"stimulusangry:conditionSleepDeprived:AgeGroupOld";0,00307130843361998;0,00703835481093317;762;0,43636737790614;0,66269381098114
"stimulushappy:conditionSleepDeprived:AgeGroupOld";0,00726194024927414;0,00703250173781764;762;1,03262544681968;0,302106835801183
