;Value;Std.Error;DF;t-value;p-value
(Intercept);67.731;1.512;1508;44.796;0.000
stimulusAngry;-0.147;0.370;1508;-0.396;0.692
stimulusHappy;-0.043;0.370;1508;-0.117;0.907
conditionpsd;-0.513;1.599;61;-0.321;0.749
AgeGroupOld;-0.824;2.214;74;-0.372;0.711
stimulusAngry:conditionpsd;0.406;0.515;1508;0.787;0.431
stimulusHappy:conditionpsd;0.791;0.515;1508;1.534;0.125
stimulusAngry:AgeGroupOld;1.102;0.540;1508;2.039;0.042
stimulusHappy:AgeGroupOld;0.973;0.540;1508;1.801;0.072
conditionpsd:AgeGroupOld;1.974;2.368;61;0.834;0.408
stimulusAngry:conditionpsd:AgeGroupOld;-0.634;0.767;1508;-0.827;0.409
stimulusHappy:conditionpsd:AgeGroupOld;-1.486;0.767;1508;-1.938;0.053
