"";"lower";"est.";"upper"
"(Intercept)";64,7652711025804;67,7310639353179;70,6968567680554
"stimulusAngry";-0,873464396528479;-0,14672461513305;0,58001516626238
"stimulusHappy";-0,770047442161392;-0,0433076607659477;0,683432120629496
"conditionpsd";-3,71015013024513;-0,513448710656919;2,6832527089313
"AgeGroupOld";-5,2357177215772;-0,823731571455966;3,58825457866527
"stimulusAngry:conditionpsd";-0,605341567183902;0,405818956665104;1,41697948051411
"stimulusHappy:conditionpsd";-0,220271931530899;0,790888592318109;1,80204911616712
"stimulusAngry:AgeGroupOld";0,0416474469246662;1,10185768836107;2,16206792979747
"stimulusHappy:AgeGroupOld";-0,0869501241046078;0,973260117331798;2,0334703587682
"conditionpsd:AgeGroupOld";-2,76002551207916;1,97433181543397;6,70868914294709
"stimulusAngry:conditionpsd:AgeGroupOld";-2,13720253385529;-0,633565604659675;0,870071324535945
"stimulusHappy:conditionpsd:AgeGroupOld";-2,98915954761943;-1,48552261842381;0,0181143107718067
