ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;-0,0143;0,4922;0,5065;0,8915;0,9057;0,3993;1,7972;2,1965
9002;0,0348;0,0401;0,0052;0,8846;0,8497;0,8445;1,7343;2,5788
9003;0,5219;0,914;0,392;1,147;0,625;0,233;1,772;2,005
9004;-0,1637;-0,1985;-0,0348;-0,1101;0,0536;0,0884;-0,0565;0,0318
9005;-0,7367;0,5794;1,3161;0,0086;0,7453;-0,5708;0,754;0,1832
9007;-0,7833;-0,4493;0,334;0,3517;1,135;0,801;1,4868;2,2877
9008;0,2931;-0,4916;-0,7847;0,46;0,1669;0,9516;0,6269;1,5786
9009;-0,1704;-0,1525;0,0179;0,3498;0,5202;0,5023;0,8701;1,3724
9011;-0,5684;-0,3475;0,2209;1,0228;1,5912;1,3703;2,6139;3,9842
9012;-0,138;0,2035;0,3415;0,2727;0,4107;0,0692;0,6834;0,7526
9013;-0,3992;0,3955;0,7947;1,0583;1,4575;0,6628;2,5158;3,1787
9014;0,9086;1,1101;0,2015;0,3995;-0,5091;-0,7106;-0,1096;-0,8202
9017;-0,8426;-1,0363;-0,1937;-0,2993;0,5433;0,737;0,2439;0,9809
9018;-1,9121;-0,3395;1,5725;0,8065;2,7186;1,146;3,525;4,6711
9019;0,0429;0,5101;0,4673;1,3013;1,2584;0,7912;2,5597;3,3509
9020;-0,406;-0,3993;0,0066;0,2156;0,6216;0,615;0,8373;1,4522
9023;0,1376;0,2663;0,1287;1,2862;1,1486;1,0199;2,4347;3,4546
9025;-0,157;0,4547;0,6117;1,1414;1,2984;0,6866;2,4397;3,1263
9026;-0,2395;0,1896;0,4291;1,8769;2,1164;1,6873;3,9933;5,6806
9028;0;0;0;0;0;0;0;0
9029;-0,337;-0,0707;0,2663;1,2776;1,6147;1,3483;2,8923;4,2406
9032;-0,2818;-0,3065;-0,0248;0,7304;1,0122;1,037;1,7426;2,7796
9033;-1,2236;-1,2073;0,0164;-0,684;0,5396;0,5232;-0,1444;0,3789
9034;0,1147;0,0174;-0,0974;0,5899;0,4752;0,5725;1,0651;1,6376
9035;0,4368;1,1754;0,7387;3,1739;2,7371;1,9984;5,911;7,9095
9036;-0,6248;0,3656;0,9904;0,9549;1,5797;0,5893;2,5346;3,1239
9037;-0,316;-0,1879;0,1281;1,2658;1,5818;1,4537;2,8476;4,3013
9038;-0,2504;0,1322;0,3826;0,2759;0,5263;0,1437;0,8022;0,9459
9039;-0,3491;-0,3747;-0,0256;0,194;0,5431;0,5687;0,7371;1,3058
