ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0,355;0,4246;0,0696;0,5914;0,2364;0,1668;0,8278;0,9946
9002;0,2618;0,3388;0,077;0,9102;0,6484;0,5714;1,5586;2,13
9003;-0,2308;0,1916;0,4225;1,2154;1,4462;1,0238;2,6616;3,6854
9004;0,093;0,1103;0,0173;0,6153;0,5222;0,5049;1,1375;1,6424
9005;0,2683;-0,4547;-0,723;0,1672;-0,1011;0,6219;0,0661;0,6881
9007;-0,2139;-0,4196;-0,2058;0,851;1,0649;1,2706;1,9159;3,1866
9008;-0,2312;-0,0496;0,1816;0,2772;0,5084;0,3267;0,7855;1,1123
9009;0,0268;0,3636;0,3367;0,9308;0,9039;0,5672;1,8347;2,4019
9011;-0,3912;0,2815;0,6727;1,4534;1,8446;1,1718;3,2979;4,4697
9012;-0,3075;-0,0601;0,2474;0,8262;1,1338;0,8864;1,96;2,8464
9013;0,7982;0,2097;-0,5885;1,1506;0,3524;0,9409;1,503;2,4439
9014;-0,0028;0,5294;0,5322;0,4871;0,49;-0,0422;0,9771;0,9349
9017;-0,3916;0,1008;0,4924;1,2693;1,6609;1,1684;2,9302;4,0986
9018;1,2179;0,5395;-0,6783;0,9127;-0,3052;0,3732;0,6075;0,9807
9019;0,0585;0,8305;0,772;1,263;1,2044;0,4324;2,4674;2,8998
9020;-0,1477;-0,0293;0,1184;0,2413;0,389;0,2706;0,6303;0,9009
9023;-0,1036;-0,0251;0,0785;0,4345;0,5381;0,4596;0,9725;1,4321
9025;0,027;0,4238;0,3969;1,1986;1,1716;0,7747;2,3702;3,1449
9026;-0,1963;-0,1092;0,0871;1,3515;1,5478;1,4608;2,8994;4,3601
9028;-0,0073;0,3675;0,3748;0,8407;0,848;0,4731;1,6887;2,1618
9029;0,1957;-0,3063;-0,502;0,9099;0,7142;1,2162;1,6241;2,8403
9032;-0,6796;-1,0107;-0,3312;0,1296;0,8092;1,1404;0,9388;2,0792
9033;-0,2371;0,2307;0,4678;0,234;0,4711;0,0033;0,7051;0,7085
9034;-0,3589;-0,6597;-0,3008;0,4172;0,7762;1,077;1,1934;2,2704
9035;0,8584;1,31;0,4516;2,8897;2,0313;1,5796;4,9209;6,5006
9036;0,4676;0,8648;0,3972;1,5356;1,068;0,6708;2,6036;3,2744
9037;-0,1333;0,9241;1,0574;1,5515;1,6847;0,6273;3,2362;3,8635
9038;0,0295;-0,096;-0,1254;0,4495;0,42;0,5454;0,8695;1,4149
9039;-0,8894;-0,4367;0,4527;-0,1545;0,7349;0,2822;0,5804;0,8626
9041;0,0392;-0,0492;-0,0884;0,6995;0,6603;0,7487;1,3598;2,1086
9042;-0,1246;0,1142;0,2388;1,0639;1,1885;0,9497;2,2524;3,2022
9045;-0,5556;-0,5242;0,0314;0,564;1,1196;1,0882;1,6837;2,7719
9046;-0,1533;-0,1102;0,043;0,3551;0,5084;0,4653;0,8635;1,3288
9047;0,0505;0,0529;0,0024;0,7402;0,6897;0,6873;1,4298;2,1171
9049;-0,9543;0,0535;1,0078;0,9254;1,8797;0,8719;2,8051;3,677
9050;-0,1515;0,0187;0,1702;0,7541;0,9056;0,7354;1,6597;2,3951
