ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0.036203;0.69737;0.66117;1.7186;1.6824;1.0213;3.401;4.4223
9002;-0.15357;-0.16869;-0.015115;0.74412;0.89769;0.91281;1.6418;2.5546
9003;0.097855;0.46748;0.36963;1.4581;1.3602;0.99062;2.8184;3.809
9004;0.31386;0.15923;-0.15463;0.79944;0.48558;0.64021;1.285;1.9252
9005;-0.43253;0.40534;0.83788;1.0954;1.528;0.69009;2.6234;3.3135
9007;-0.53846;-0.22943;0.30904;1.6982;2.2367;1.9276;3.9348;5.8625
9008;-0.2656;-0.79545;-0.52984;0.49092;0.75652;1.2864;1.2474;2.5338
9009;-0.4795;-0.39796;0.081537;0.98117;1.4607;1.3791;2.4418;3.821
9011;-0.58039;-0.49938;0.081012;1.4064;1.9868;1.9058;3.3932;5.299
9013;-0.14612;0.53132;0.67745;1.9295;2.0756;1.3982;4.0051;5.4033
9014;0.51562;0.98155;0.46593;1.576;1.0604;0.59445;2.6364;3.2308
9017;-1.0512;-0.83129;0.21994;0.5021;1.5533;1.3334;2.0554;3.3888
9018;-2.4665;-1.4372;1.0293;0.82279;3.2893;2.26;4.1121;6.3721
9019;0.42528;0.98519;0.55991;2.0192;1.5939;1.034;3.6132;4.6472
9020;-0.021709;0.092585;0.11429;1.2181;1.2398;1.1255;2.4578;3.5833
9023;0.44521;0.44939;0.0041807;1.5041;1.0589;1.0547;2.5629;3.6176
9025;0.07535;0.38759;0.31224;1.5084;1.433;1.1208;2.9414;4.0622
9026;-0.63533;-0.038566;0.59676;1.7698;2.4051;1.8083;4.1749;5.9832
9029;-0.31428;-0.14288;0.1714;0.68351;0.99779;0.82639;1.6813;2.5077
9032;0.0049002;0.044266;0.039366;1.746;1.7411;1.7017;3.4871;5.1888
9033;-1.7371;-1.5857;0.15147;-0.014552;1.7226;1.5711;1.708;3.2791
9034;0.092154;-0.048666;-0.14082;1.1747;1.0826;1.2234;2.2573;3.4808
9035;0.47849;0.79399;0.3155;2.6326;2.1541;1.8386;4.7866;6.6252
9036;-0.4905;0.41877;0.90927;2.2982;2.7887;1.8794;5.0868;6.9662
9037;-0.53969;-0.477;0.062699;0.58948;1.1292;1.0665;1.7187;2.7851
9039;-0.0069574;-0.21258;-0.20562;0.59752;0.60448;0.8101;1.202;2.0121
9041;0.061748;0.084453;0.022705;1.0316;0.96988;0.94718;2.0015;2.9487
9042;-0.066183;0.12933;0.19551;0.57177;0.63795;0.44245;1.2097;1.6522
9045;0.21591;0.054581;-0.16132;0.78653;0.57062;0.73195;1.3572;2.0891
9046;-0.1232;-0.050788;0.072416;1.1769;1.3001;1.2277;2.4771;3.7048
9047;-0.24823;-0.84516;-0.59693;0.53486;0.78308;1.38;1.3179;2.698
9049;0.11886;0.53863;0.41977;1.8003;1.6815;1.2617;3.4818;4.7435
9050;-0.6695;0.11751;0.78701;2.332;3.0015;2.2145;5.3334;7.5479
9053;-0.31721;-0.30333;0.013879;1.2568;1.574;1.5601;2.8307;4.3908
9054;-0.28726;0.65936;0.94662;1.7783;2.0655;1.1189;3.8438;4.9627
9055;-0.24848;0.76514;1.0136;2.4084;2.6569;1.6433;5.0653;6.7086
9057;-1.5742;-1.7392;-0.16498;0.068136;1.6423;1.8073;1.7105;3.5178
9058;0.72722;0.5278;-0.19943;1.054;0.32679;0.52622;1.3808;1.907
9059;0.77559;0.37973;-0.39586;2.3619;1.5863;1.9821;3.9482;5.9303
9061;0.35604;0.29773;-0.058301;0.724;0.36796;0.42627;1.092;1.5182
9062;0.52255;0.77341;0.25087;1.5579;1.0354;0.7845;2.5933;3.3778
9064;0.094661;0.14893;0.054265;2.2081;2.1135;2.0592;4.3216;6.3808
9065;-1.0554;-0.23531;0.82006;0.70796;1.7633;0.94326;2.4713;3.4145
9068;-0.2602;0.048176;0.30837;0.63057;0.89077;0.58239;1.5213;2.1037
9069;-0.22461;0.19007;0.41469;1.5854;1.8101;1.3954;3.3955;4.7909
9070;0.073526;-0.25903;-0.33256;0.12971;0.056184;0.38874;0.18589;0.57464
9071;-0.38167;0.81273;1.1944;0.78865;1.1703;-0.024086;1.959;1.9349
9072;0.23361;0.47127;0.23766;1.184;0.95037;0.71271;2.1343;2.8471
9073;0.072188;0.41421;0.34202;1.1571;1.085;0.74294;2.2421;2.9851
9074;0.24783;0.7332;0.48537;1.3877;1.1399;0.65452;2.5276;3.1821
9075;-0.2167;-0.065878;0.15082;1.7779;1.9946;1.8438;3.7725;5.6162
9076;-0.95053;-0.059466;0.89107;1.6388;2.5893;1.6983;4.2282;5.9264
9077;-0.5638;-0.45171;0.11209;0.10739;0.67119;0.5591;0.77858;1.3377
9080;-1.0498;-0.80624;0.2436;0.49488;1.5447;1.3011;2.0396;3.3407
9081;0.96789;0.71027;-0.25762;1.1741;0.20624;0.46386;1.3804;1.8442
9082;-0.79487;-0.89486;-0.099982;1.4494;2.2443;2.3443;3.6937;6.0379
9084;0.22485;0.21018;-0.014673;1.9757;1.7508;1.7655;3.7265;5.492
9085;1.2627;0.13157;-1.1311;1.1722;-0.090454;1.0407;1.0818;2.1224
9086;-0.29252;0.25226;0.54478;1.4844;1.7769;1.2321;3.2613;4.4934
9087;0.50974;0.6647;0.15496;0.79961;0.28988;0.13491;1.0895;1.2244
9088;0.52754;0.18761;-0.33993;1.1363;0.60876;0.94869;1.7451;2.6938
9090;0.54063;0.37376;-0.16687;1.1944;0.65378;0.82066;1.8482;2.6689
9091;-0.26166;-0.096394;0.16527;1.4471;1.7088;1.5435;3.1559;4.6995
9092;-0.37424;-1.3493;-0.97506;0.18058;0.55481;1.5299;0.73539;2.2653
9093;0.23198;0.2887;0.056716;1.8105;1.5785;1.5218;3.3889;4.9107
9094;-0.24342;0.33807;0.5815;1.3841;1.6275;1.046;3.0116;4.0576
9096;-0.29394;-0.019007;0.27493;1.2093;1.5033;1.2283;2.7126;3.9409
9098;-0.7737;0.33087;1.1046;0.61243;1.3861;0.28157;1.9986;2.2801
9100;0.2086;0.57128;0.36268;1.1066;0.89804;0.53536;2.0047;2.5401
