ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0,7328;0,3907;-0,3421;1,2246;0,4918;0,8339;1,7164;2,5502
9002;0,281;0,1581;-0,1229;0,8466;0,5656;0,6885;1,4122;2,1007
9003;-0,468;-0,0011;0,4669;1,4558;1,9238;1,4569;3,3796;4,8366
9004;0,3831;0,5896;0,2065;1,5243;1,1412;0,9347;2,6655;3,6002
9005;-0,0421;-0,3794;-0,3373;1,6157;1,6578;1,9952;3,2735;5,2687
9007;-0,3078;-0,7321;-0,4243;1,891;2,1988;2,6231;4,0898;6,7129
9008;0,0613;-0,2004;-0,2617;1,044;0,9827;1,2444;2,0268;3,2712
9009;0,6189;0,3985;-0,2205;1,4915;0,8726;1,093;2,3641;3,4571
9011;-0,7177;-0,0842;0,6335;1,3255;2,0432;1,4097;3,3687;4,7783
9012;0,0393;-0,0357;-0,0749;1,411;1,3717;1,4467;2,7827;4,2294
9013;0,9072;0,1688;-0,7384;2,0095;1,1023;1,8407;3,1118;4,9524
9014;0,1832;0,2081;0,0249;1,5654;1,3822;1,3573;2,9476;4,305
9017;0,2505;0,3154;0,0649;2,1417;1,8912;1,8264;4,0329;5,8593
9018;0,8685;0,0366;-0,8319;1,3083;0,4398;1,2717;1,7481;3,0198
9019;-0,0734;1,2414;1,3148;2,0299;2,1033;0,7885;4,1332;4,9216
9020;0,0565;0,2504;0,1939;1,3184;1,2619;1,068;2,5803;3,6482
9023;0,0215;0,1767;0,1553;0,2781;0,2566;0,1013;0,5347;0,636
9025;0,0097;0,4465;0,4368;1,6206;1,6109;1,1741;3,2316;4,4057
9026;0,3318;-0,1419;-0,4737;1,8524;1,5205;1,9942;3,3729;5,3671
9028;-0,2197;0,7269;0,9466;1,3947;1,6143;0,6677;3,009;3,6767
9029;0,3986;-0,0327;-0,4313;0,5158;0,1171;0,5484;0,6329;1,1813
9032;-0,1888;-0,4936;-0,3048;1,2783;1,4671;1,7719;2,7454;4,5173
9033;-0,3408;-0,0372;0,3037;0,7753;1,1162;0,8125;1,8915;2,704
9034;-0,1804;-0,5303;-0,3499;0,6979;0,8784;1,2282;1,5763;2,8045
9035;1,1542;1,2321;0,0779;2,8016;1,6474;1,5695;4,4491;6,0186
9036;1,2149;1,0949;-0,12;2,5822;1,3673;1,4873;3,9495;5,4369
9037;0,0222;0,6951;0,6728;0,6679;0,6456;-0,0272;1,3135;1,2863
9038;0,8577;-0,148;-1,0057;1,1544;0,2967;1,3024;1,4511;2,7535
9039;-0,5775;-0,3719;0,2056;0,2275;0,805;0,5995;1,0326;1,632
9041;-0,2026;0,2091;0,4117;1,2919;1,4945;1,0828;2,7864;3,8692
9042;0,0323;0,0455;0,0132;1,3058;1,2735;1,2603;2,5793;3,8396
9045;-0,5844;-0,9043;-0,3198;0,2229;0,8074;1,1272;1,0303;2,1575
9046;-0,4197;-0,2911;0,1287;0,7381;1,1578;1,0291;1,8958;2,9249
9047;0,1265;0,066;-0,0605;1,3487;1,2222;1,2827;2,5708;3,8536
9049;-0,4284;0,0945;0,523;0,6932;1,1217;0,5987;1,8149;2,4136
9050;0,4646;-0,0286;-0,4933;2,8645;2,3998;2,8931;5,2643;8,1574
9053;-0,6018;-0,0574;0,5444;1,105;1,7068;1,1624;2,8117;3,9741
9054;-0,0119;0,3301;0,342;1,689;1,7009;1,3589;3,3899;4,7488
