ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0,1586;0,5409;0,3823;0,3713;0,2127;-0,1696;0,5841;0,4145
9002;-0,0887;-0,2664;-0,1777;0,159;0,2477;0,4254;0,4066;0,832
9003;0,0429;0,4711;0,4283;0,1365;0,0936;-0,3346;0,2302;-0,1044
9004;1,015;0,8325;-0,1826;0,6955;-0,3195;-0,137;0,376;0,239
9005;-0,2927;0,5017;0,7945;0,0858;0,3785;-0,4159;0,4643;0,0484
9007;-0,0725;-0,3211;-0,2486;0,2598;0,3323;0,5809;0,5921;1,173
9008;0,0667;-0,3698;-0,4365;-0,1266;-0,1934;0,2432;-0,32;-0,0769
9009;-0,745;-0,8473;-0,1023;0,0819;0,8269;0,9293;0,9089;1,8381
9011;-0,4603;-0,6794;-0,2192;0,0738;0,5341;0,7532;0,6078;1,3611
9012;0,4295;0,2988;-0,1307;0,3098;-0,1197;0,011;0,19;0,201
9013;-0,1442;-0,0563;0,0879;0,8903;1,0345;0,9466;1,9249;2,8714
9014;0,3068;0,2554;-0,0515;0,1614;-0,1454;-0,0939;0,0161;-0,0779
9017;-0,9581;-1,1667;-0,2087;-0,9097;0,0484;0,257;-0,8613;-0,6043
9018;-1,5835;-0,644;0,9395;0,5421;2,1256;1,1861;2,6677;3,8538
9019;0,0653;0,385;0,3197;0,793;0,7276;0,408;1,5206;1,9286
9020;-0,1703;-0,1192;0,0511;-0,2796;-0,1092;-0,1604;-0,3888;-0,5492
9023;0,3838;0,0934;-0,2904;0,791;0,4072;0,6976;1,1982;1,8958
9025;-0,3415;0,0148;0,3563;0,1414;0,4829;0,1266;0,6244;0,751
9026;-0,4443;-0,2392;0,2051;0,179;0,6233;0,4182;0,8023;1,2205
9028;NA;NA;NA;NA;NA;NA;NA;NA
9029;-0,5324;-0,3786;0,1538;0,2251;0,7575;0,6037;0,9826;1,5862
9032;-0,3177;-0,5265;-0,2088;0,2256;0,5433;0,7521;0,7689;1,521
9033;-1,1997;-1,1283;0,0714;-0,6533;0,5464;0,475;-0,1069;0,3681
9034;-0,1845;-0,1057;0,0788;0,2232;0,4077;0,3289;0,6309;0,9598
9035;0,407;0,9188;0,5118;1,3015;0,8945;0,3827;2,196;2,5787
9036;-0,18;1,4851;1,6651;0,7405;0,9205;-0,7446;1,661;0,9164
9037;-0,4584;-0,1613;0,2971;0,3251;0,7836;0,4865;1,1087;1,5951
9038;-0,7049;0,224;0,9289;0,2785;0,9834;0,0544;1,2618;1,3163
9039;-0,0391;-0,1628;-0,1237;0,0637;0,1028;0,2265;0,1665;0,393
9041;0,1735;0,2407;0,0672;0,2639;0,0904;0,0233;0,3544;0,3776
9042;0,3036;0,1408;-0,1628;0,4872;0,1836;0,3464;0,6707;1,0171
9045;0,3247;-0,3356;-0,6603;0,1136;-0,2112;0,4491;-0,0976;0,3515
9046;0,5357;0,021;-0,5147;-0,0815;-0,6172;-0,1025;-0,6987;-0,8011
9047;0,2709;-0,0362;-0,3071;0,294;0,0231;0,3302;0,3171;0,6472
9049;0,5554;0,8183;0,2629;0,74;0,1846;-0,0783;0,9246;0,8463
