ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;-0,2996;-0,2002;0,0993;-0,0977;0,2019;0,1025;0,1041;0,2067
9002;0,3621;0,7319;0,3698;0,6189;0,2568;-0,1129;0,8758;0,7629
9003;-0,7916;-0,3925;0,3991;-0,3908;0,4008;0,0017;0,0101;0,0118
9004;-0,3318;0,1386;0,4704;0,0257;0,3575;-0,1129;0,3832;0,2703
9005;0,6853;0,0224;-0,6629;0,3024;-0,3829;0,2801;-0,0805;0,1996
9007;-0,216;-0,1773;0,0388;0,4196;0,6357;0,5969;1,0553;1,6522
9008;-0,3376;-0,124;0,2136;-0,1012;0,2364;0,0228;0,1353;0,1581
9009;0,8871;0,2062;-0,6809;1,1039;0,2168;0,8977;1,3207;2,2183
9011;-0,1233;0,4183;0,5416;0,4537;0,577;0,0354;1,0307;1,066
9012;-0,2215;-0,3295;-0,108;0,2235;0,445;0,553;0,6686;1,2216
9013;0,6727;0,2577;-0,415;0,8146;0,1418;0,5568;0,9564;1,5132
9014;0,1564;0,3102;0,1539;0,1452;-0,0112;-0,165;0,134;-0,031
9017;-0,1199;-0,0159;0,104;0,6058;0,7257;0,6217;1,3315;1,9532
9018;1,7307;0,1165;-1,6141;1,0711;-0,6596;0,9546;0,4116;1,3662
9019;-0,2529;0,4959;0,7489;0,8929;1,1458;0,397;2,0387;2,4357
9020;-0,1151;0,4235;0,5386;0,3663;0,4814;-0,0571;0,8478;0,7906
9023;-0,0165;0,1661;0,1826;-0,3665;-0,35;-0,5326;-0,7164;-1,249
9025;-0,1066;0,0358;0,1424;0,425;0,5316;0,3892;0,9566;1,3459
9026;-0,096;-0,2433;-0,1473;-0,0435;0,0525;0,1998;0,009;0,2088
9028;0,4645;0,8967;0,4322;1,0232;0,5587;0,1265;1,5819;1,7084
9029;0,7226;0,1104;-0,6122;-0,0668;-0,7894;-0,1771;-0,8561;-1,0332
9032;0,3649;-0,1899;-0,5548;0,3523;-0,0126;0,5422;0,3397;0,8819
9033;-0,3395;0,1028;0,4423;-0,1242;0,2153;-0,227;0,0911;-0,136
9034;-0,0484;-0,1395;-0,0911;0,1565;0,205;0,296;0,3615;0,6575
9035;1,2453;1,4353;0,1901;1,5152;0,27;0,0799;1,7852;1,865
9036;1,2044;1,5065;0,3021;1,5271;0,3227;0,0207;1,8499;1,8705
9037;0,1675;1,2323;1,0647;0,694;0,5265;-0,5383;1,2205;0,6823
9038;0,5243;0,2561;-0,2682;0,3632;-0,1611;0,1072;0,2021;0,3093
9039;-0,7466;-0,2292;0,5174;-0,4676;0,279;-0,2384;-0,1886;-0,427
9041;-0,1054;0,0071;0,1125;-0,0161;0,0893;-0,0232;0,0732;0,05
9042;-0,1637;-0,3408;-0,1771;0,401;0,5646;0,7418;0,9656;1,7073
9045;-0,5191;-0,3654;0,1537;0,0396;0,5586;0,405;0,5982;1,0031
9046;-0,1023;-0,0587;0,0436;0,1042;0,2065;0,1629;0,3107;0,4736
9047;0,7124;0,5247;-0,1877;1,0349;0,3226;0,5103;1,3575;1,8678
9049;-0,8226;-0,0516;0,771;-0,0828;0,7398;-0,0312;0,6569;0,6257
9050;0,7144;0,2514;-0,463;1,4101;0,6958;1,1588;2,1059;3,2647
9053;-0,5565;-0,0241;0,5324;-0,4489;0,1076;-0,4248;-0,3413;-0,7661
9054;0,497;0,4051;-0,0919;0,8871;0,3901;0,482;1,2772;1,7592
9055;-0,0979;-0,3339;-0,236;-0,2961;-0,1982;0,0378;-0,4943;-0,4565
9056;-0,7813;-0,5056;0,2757;-0,2033;0,578;0,3023;0,3747;0,677
9057;1,0109;0,4798;-0,5311;0,7869;-0,224;0,3071;0,5628;0,8699
9058;-0,3758;-0,6528;-0,2771;0,0328;0,4085;0,6856;0,4413;1,1269
9059;0,3493;0,1618;-0,1875;0,7895;0,4402;0,6277;1,2298;1,8575
9061;0,3433;-0,0039;-0,3473;-0,3712;-0,7145;-0,3673;-1,0857;-1,453
9062;0,1519;-0,1074;-0,2593;0,3025;0,1506;0,4099;0,4531;0,863
9064;-0,6182;-0,4668;0,1515;-0,2524;0,3658;0,2143;0,1133;0,3276
9065;-0,0901;0,2931;0,3832;0,805;0,8952;0,5119;1,7002;2,2121
9066;0,2104;0,404;0,1936;0,4495;0,2392;0,0456;0,6887;0,7343
9067;1,0926;0,1576;-0,935;-0,0568;-1,1494;-0,2143;-1,2061;-1,4204
9068;0,5385;0,482;-0,0565;0,5773;0,0388;0,0953;0,6161;0,7115
9069;0,0791;-0,0341;-0,1132;0,4109;0,3318;0,445;0,7427;1,1877
9070;-0,0011;0,0985;0,0996;0,221;0,2221;0,1225;0,443;0,5655
9071;-0,0092;0,4164;0,4257;0,5525;0,5617;0,1361;1,1142;1,2502
9072;-0,2393;-0,0636;0,1757;0,0854;0,3247;0,149;0,4101;0,5592
9073;-0,4298;-0,2955;0,1344;0,5572;0,987;0,8527;1,5442;2,3969
9074;1,25;-0,4899;-1,7399;1,4424;0,1924;1,9323;1,6348;3,5671
9075;0,6703;-0,1286;-0,7989;0,1661;-0,5042;0,2947;-0,3381;-0,0435
9076;-1,1789;-0,9719;0,207;0,3422;1,5211;1,3141;1,8634;3,1775
9077;0,1083;0,2598;0,1515;0,2552;0,1469;-0,0046;0,402;0,3974
9080;1,1308;0,0891;-1,0417;1,1651;0,0343;1,076;1,1994;2,2754
9081;0,13;0,3587;0,2287;0,3361;0,2061;-0,0226;0,5423;0,5197
