ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0.11115;0.58275;0.4716;0.38795;0.2768;-0.19481;0.66475;0.46994
9002;-0.094658;-0.26969;-0.17503;0.15836;0.25302;0.42805;0.41138;0.83943
9003;0.040363;0.47258;0.43221;0.12466;0.084297;-0.34792;0.20896;-0.13896
9004;1.0903;0.88984;-0.20045;0.74577;-0.34453;-0.14407;0.40125;0.25717
9005;-0.37067;0.51361;0.88429;0.10832;0.47899;-0.4053;0.58731;0.18201
9007;-0.040834;-0.34404;-0.3032;0.28715;0.32799;0.63119;0.61514;1.2463
9008;0.080978;-0.36995;-0.45092;-0.12522;-0.20619;0.24473;-0.33141;-0.086682
9009;-0.75227;-0.8572;-0.10492;0.089084;0.84136;0.94628;0.93044;1.8767
9011;-0.4933;-0.69577;-0.20246;0.078667;0.57197;0.77443;0.65064;1.4251
9013;-0.1492;-0.048119;0.10108;0.94167;1.0909;0.98979;2.0325;3.0223
9014;0.34279;0.26892;-0.073875;0.15276;-0.19004;-0.11616;-0.037283;-0.15345
9017;-0.95521;-1.1678;-0.21257;-0.91098;0.044236;0.2568;-0.86674;-0.60994
9018;-1.6012;-0.64872;0.95251;0.5433;2.1445;1.192;2.6878;3.8799
9019;0.078804;0.42288;0.34407;0.84403;0.76523;0.42115;1.6093;2.0304
9020;-0.17191;-0.10906;0.06285;-0.28553;-0.11362;-0.17647;-0.39915;-0.57563
9023;0.36319;0.10067;-0.26252;0.77045;0.40726;0.66978;1.1777;1.8475
9025;-0.30614;0.04464;0.35078;0.16016;0.46631;0.11552;0.62647;0.74199
9026;-0.45305;-0.25072;0.20233;0.18555;0.63861;0.43628;0.82416;1.2604
9029;-0.53556;-0.40611;0.12945;0.19284;0.7284;0.59895;0.92124;1.5202
9032;-0.34219;-0.56353;-0.22134;0.19884;0.54102;0.76237;0.73986;1.5022
9033;-1.2317;-1.1736;0.058014;-0.67571;0.55595;0.49794;-0.11976;0.37818
9034;-0.19347;-0.10549;0.087987;0.24762;0.44109;0.35311;0.68871;1.0418
9035;0.35481;0.97071;0.6159;1.3413;0.9865;0.3706;2.3278;2.6984
9036;-0.19034;1.5213;1.7116;0.7478;0.93814;-0.77347;1.6859;0.91246
9037;-0.50576;-0.16612;0.33964;0.34271;0.84847;0.50883;1.1912;1.7
9039;-0.026532;-0.16919;-0.14265;0.098748;0.12528;0.26793;0.22403;0.49196
9041;0.21235;0.24961;0.037264;0.29059;0.078242;0.040978;0.36883;0.40981
9042;0.29702;0.10788;-0.18914;0.51964;0.22262;0.41176;0.74226;1.154
9045;0.29956;-0.31621;-0.61577;0.1002;-0.19936;0.4164;-0.099166;0.31724
9046;0.49167;0.043144;-0.44853;-0.040069;-0.53174;-0.083213;-0.57181;-0.65502
9047;0.27263;-0.049833;-0.32246;0.29576;0.023133;0.3456;0.31889;0.66449
9049;0.56306;0.87042;0.30736;0.77731;0.21424;-0.093112;0.99155;0.89844
9050;-0.47034;0.045942;0.51628;0.42815;0.89849;0.38221;1.3266;1.7089
9053;0.31808;0.21752;-0.10056;0.55531;0.23723;0.33779;0.79254;1.1303
9054;0.1458;0.93598;0.79018;0.78592;0.64012;-0.15006;1.426;1.276
9055;0.44095;1.1616;0.72061;0.98375;0.5428;-0.17781;1.5266;1.3487
9057;-1.8445;-1.336;0.50851;-1.2703;0.57418;0.065666;-0.69611;-0.63045
9058;0.017593;-0.0036766;-0.02127;0.11991;0.10232;0.12359;0.22223;0.34582
9059;0.7111;0.34527;-0.36583;0.79419;0.083097;0.44893;0.87729;1.3262
9061;-0.34488;0.0094516;0.35433;0.17076;0.51565;0.16131;0.68641;0.84772
9062;0.27721;0.42941;0.1522;0.42371;0.1465;-0.0056963;0.57022;0.56452
9064;-1.175;-1.0724;0.10265;0.31362;1.4887;1.386;1.8023;3.1883
9065;-1.4277;-0.4642;0.96354;-1.1649;0.26285;-0.70069;-0.90204;-1.6027
9068;0.15008;0.06395;-0.086125;0.26693;0.11686;0.20298;0.38379;0.58677
9069;0.72664;0.15801;-0.56863;0.35142;-0.37521;0.19342;-0.023789;0.16963
9070;0.35747;0.041571;-0.3159;0.26399;-0.09348;0.22242;0.17051;0.39293
9071;-0.73488;0.20764;0.94253;-0.36488;0.37;-0.57253;0.0051192;-0.56741
9072;0.62325;0.29047;-0.33278;0.73304;0.10978;0.44257;0.84282;1.2854
