ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;-0.36142;-0.2321;0.12932;-0.12845;0.23297;0.10365;0.10452;0.20816
9002;0.37851;0.73209;0.35359;0.63154;0.25304;-0.10055;0.88458;0.78403
9003;-0.74736;-0.33422;0.41313;-0.37929;0.36806;-0.04507;-0.011229;-0.056299
9004;-0.34099;0.11135;0.45234;0.015326;0.35631;-0.096024;0.37164;0.27561
9005;0.5849;-0.021592;-0.60649;0.24433;-0.34057;0.26593;-0.096232;0.1697
9007;-0.20672;-0.17658;0.030136;0.46361;0.67032;0.64019;1.1339;1.7741
9008;-0.35697;-0.11134;0.24563;-0.11499;0.24198;-0.003642;0.127;0.12336
9009;0.85452;0.22033;-0.63419;1.1111;0.25662;0.89081;1.3678;2.2586
9011;-0.10169;0.44077;0.54245;0.49816;0.59985;0.057392;1.098;1.1554
9013;0.6636;0.28242;-0.38119;0.76782;0.10422;0.48541;0.87204;1.3575
9014;0.16102;0.34548;0.18446;0.1411;-0.019921;-0.20438;0.12118;-0.0832
9017;-0.11217;0.0011351;0.11331;0.60254;0.71471;0.6014;1.3172;1.9186
9018;1.7381;0.11886;-1.6192;1.0562;-0.68186;0.93734;0.37434;1.3117
9019;-0.25386;0.51664;0.77051;0.96195;1.2158;0.44531;2.1778;2.6231
9020;-0.17014;0.42095;0.59109;0.32676;0.4969;-0.094187;0.82366;0.72947
9023;-0.047967;0.14556;0.19353;-0.36509;-0.31712;-0.51065;-0.68221;-1.1929
9025;-0.086244;0.070827;0.15707;0.4481;0.53435;0.37728;0.98245;1.3597
9026;-0.090839;-0.24917;-0.15833;-0.035393;0.055446;0.21378;0.020054;0.23383
9029;0.70653;0.098902;-0.60763;-0.094573;-0.8011;-0.19347;-0.89568;-1.0892
9032;0.36845;-0.18608;-0.55454;0.36977;0.0013178;0.55586;0.37109;0.92695
9033;-0.38786;0.061082;0.44895;-0.11317;0.27469;-0.17425;0.16152;-0.012729
9034;-0.067239;-0.17754;-0.1103;0.14059;0.20783;0.31813;0.34842;0.66654
9035;1.2611;1.4946;0.23346;1.5855;0.32439;0.090928;1.9099;2.0008
9036;1.2679;1.5756;0.30768;1.5515;0.2836;-0.024079;1.8351;1.8111
9037;0.30194;1.1881;0.88612;0.79463;0.49269;-0.39343;1.2873;0.89389
9039;-0.77748;-0.23568;0.5418;-0.4804;0.29708;-0.24472;-0.18332;-0.42804
9041;-0.16049;-0.054252;0.10623;-0.070451;0.090036;-0.016199;0.019586;0.0033869
9042;-0.12319;-0.332;-0.20881;0.459;0.58219;0.791;1.0412;1.8322
9045;-0.58084;-0.38338;0.19746;-0.031484;0.54935;0.35189;0.51787;0.86976
9046;-0.12302;-0.064924;0.058095;0.10911;0.23213;0.17403;0.34124;0.51527
9047;0.72744;0.53817;-0.18926;1.0542;0.32678;0.51604;1.381;1.897
9049;-0.98694;-0.1435;0.84344;-0.14906;0.83788;-0.0055559;0.68882;0.68327
9050;0.75039;0.25603;-0.49436;1.5009;0.7505;1.2449;2.2514;3.4962
9053;-0.53978;-0.032837;0.50694;-0.52391;0.015869;-0.49108;-0.50804;-0.99912
9054;0.51362;0.41098;-0.10265;0.89293;0.3793;0.48195;1.2722;1.7542
9055;-0.14738;-0.30724;-0.15986;-0.3162;-0.16882;-0.0089599;-0.48503;-0.49399
9057;1.0238;0.49832;-0.52553;0.78939;-0.23446;0.29107;0.55493;0.846
9058;-0.4033;-0.67669;-0.27339;-0.012494;0.3908;0.66419;0.37831;1.0425
9059;0.3555;0.16401;-0.19149;0.78891;0.43341;0.6249;1.2223;1.8472
