ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;0,2268;0,4622;0,2355;0,5129;0,2861;0,0506;0,799;0,8496
9002;0,3131;0,1142;-0,1988;0,2339;-0,0792;0,1196;0,1546;0,2743
9003;0,138;0,3021;0,164;-0,2397;-0,3777;-0,5417;-0,6174;-1,1591
9004;0,6763;0,6273;-0,049;0,6691;-0,0072;0,0419;0,6619;0,7038
9005;-1,1606;0,5589;1,7196;0,0534;1,214;-0,5055;1,2674;0,7618
9007;0,1978;-0,385;-0,5828;0,1916;-0,0062;0,5766;0,1854;0,762
9008;-0,6932;-0,9107;-0,2175;-0,2445;0,4486;0,6661;0,2041;0,8702
9009;-0,1074;-0,0426;0,0648;0,7836;0,891;0,8262;1,6746;2,5007
9011;-0,2759;-0,517;-0,2411;0,1162;0,3921;0,6331;0,5082;1,1414
9012;0,431;-0,1745;-0,6055;0,0976;-0,3334;0,2721;-0,2358;0,0364
9013;-0,4042;0,1475;0,5517;1,1632;1,5674;1,0157;2,7306;3,7463
9014;0,1702;0,277;0,1069;0,3135;0,1434;0,0365;0,4569;0,4934
9017;-0,6089;-0,5113;0,0976;-0,295;0,3138;0,2162;0,0188;0,235
9018;-1,8133;-0,6856;1,1276;0,3621;2,1753;1,0477;2,5374;3,5851
9019;-0,0556;0,1022;0,1578;0,4018;0,4574;0,2996;0,8593;1,1589
9020;-0,3697;-0,3085;0,0611;-0,2715;0,0982;0,0371;-0,1733;-0,1363
9023;0,1754;0,3402;0,1648;0,6976;0,5222;0,3573;1,2197;1,5771
9025;-0,4303;-0,0789;0,3514;0,1319;0,5622;0,2109;0,6942;0,905
9026;-0,8854;-0,2458;0,6396;0,1865;1,0719;0,4323;1,2583;1,6906
9028;NA;NA;NA;NA;NA;NA;NA;NA
9029;-0,8578;-0,7048;0,153;0,0013;0,8591;0,7062;0,8605;1,5666
9032;-0,0416;0,1312;0,1728;0,6628;0,7044;0,5316;1,3672;1,8989
9033;-1,0987;-1,052;0,0467;-0,6809;0,4178;0,371;-0,2632;0,1078
9034;-0,3887;-0,1308;0,2578;0,1497;0,5384;0,2806;0,6882;0,9688
9035;0,4325;0,9554;0,523;1,2361;0,8036;0,2806;2,0396;2,3203
9036;-0,7548;1,0612;1,816;0,8389;1,5937;-0,2224;2,4325;2,2102
9037;-0,5372;-0,3427;0,1946;0,2915;0,8287;0,6341;1,1202;1,7543
9038;-0,1168;0,3327;0,4495;0,8619;0,9787;0,5293;1,8407;2,37
