ID;'HA_AN';'HA_NE';'AN_NE';'HA';'AN';'NE';'HA+AN';'HA+AN+NE'
9001;-0,3458;-0,3688;-0,0229;-0,1201;0,2258;0,2487;0,1057;0,3544
9002;0,1294;0,597;0,4676;0,4967;0,3673;-0,1003;0,864;0,7636
9003;-0,4844;-0,3881;0,0963;-0,1073;0,3771;0,2808;0,2699;0,5507
9004;0,0062;0,4134;0,4072;0,4712;0,465;0,0578;0,9362;0,994
9005;0,5464;-0,3101;-0,8564;0,2632;-0,2832;0,5733;-0,02;0,5533
9007;-0,0093;-0,1413;-0,132;0,4103;0,4196;0,5515;0,8298;1,3814
9008;-0,2315;-0,1386;0,0929;-0,1693;0,0622;-0,0307;-0,1071;-0,1378
9009;1,9868;0,4658;-1,521;1,0028;-0,9839;0,5371;0,0189;0,5559
9011;-0,2075;0,2422;0,4497;0,54;0,7475;0,2978;1,2875;1,5853
9012;-0,2874;-0,2528;0,0346;0,6078;0,8951;0,8606;1,5029;2,3635
9013;0,6311;-0,08;-0,7111;0,793;0,1618;0,873;0,9548;1,8278
9014;-0,0819;-0,1493;-0,0674;0,028;0,1099;0,1773;0,1379;0,3152
9017;0,247;0,1804;-0,0666;0,8545;0,6075;0,6741;1,462;2,1361
9018;1,0693;0,1189;-0,9504;0,8314;-0,2379;0,7125;0,5935;1,306
9019;-0,1624;0,4298;0,5922;0,8576;1,0199;0,4277;1,8775;2,3053
9020;-0,0113;0,3618;0,3731;0,7725;0,7837;0,4107;1,5562;1,9669
9023;-0,1449;0,0305;0,1754;-0,0537;0,0911;-0,0842;0,0374;-0,0468
9025;0,1597;0,19;0,0303;0,4516;0,2919;0,2615;0,7434;1,005
9026;0,181;-0,368;-0,5489;0,3891;0,2081;0,7571;0,5972;1,3543
9028;-0,0971;0,4778;0,5749;0,4649;0,562;-0,0129;1,0269;1,0141
9029;0,5588;-0,0111;-0,57;0,0342;-0,5247;0,0453;-0,4905;-0,4452
9032;0,3339;0,0775;-0,2565;0,5284;0,1945;0,451;0,723;1,1739
9033;0,0288;0,1503;0,1215;0,2606;0,2318;0,1103;0,4923;0,6026
9034;0,0357;-0,1582;-0,1939;0,536;0,5003;0,6942;1,0363;1,7305
9035;0,9082;1,0688;0,1606;1,22;0,3118;0,1511;1,5318;1,6829
9036;0,6433;1,0313;0,388;1,1831;0,5398;0,1518;1,723;1,8748
