set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.000,0.000,51828,0.000,0.000,0.000, 13.92,  Inf,0.000,-30,-46, 45,
,,,,,,0.000,0.000, 13.59,  Inf,0.000, 33,-80, 32,
,,,,,,0.000,0.000, 13.05,  Inf,0.000,-20,-66, 51,
,,0.000,0.000,9990,0.000,0.000,0.000, 12.16,  Inf,0.000, 45,  9, 28,
,,,,,,0.000,0.000, 10.57,  Inf,0.000, 34, 24,  4,
,,,,,,0.000,0.000, 10.19,  Inf,0.000, 38,  2, 52,
,,0.000,0.000,4590,0.000,0.000,0.000, 12.09,  Inf,0.000, -6,  9, 50,
,,,,,,0.000,0.000, 11.29,  Inf,0.000,  8, 14, 51,
,,,,,,0.001,0.034,  5.85, 5.35,0.000,  8, 15, 28,
,,0.000,0.000,3950,0.000,0.000,0.000, 10.09,  Inf,0.000, -8,-20, -8,
,,,,,,0.000,0.000,  8.80, 7.40,0.000,-14,-21,  6,
,,,,,,0.000,0.000,  8.50, 7.21,0.000,-16,-28,  2,
,,0.000,0.000,3801,0.000,0.000,0.000,  7.95, 6.85,0.000,-42, 34, 32,
,,,,,,0.000,0.000,  7.47, 6.53,0.000,-32, 51, 14,
,,,,,,0.000,0.000,  7.38, 6.47,0.000,-40, 40, 22,
,,0.012,0.376,25,0.226,0.004,0.079,  5.62, 5.17,0.000, 14,  0,  2,
,,0.014,0.396,20,0.277,0.011,0.228,  5.31, 4.92,0.000,-34, -3,-12,
,,0.023,0.557,10,0.446,0.015,0.305,  5.22, 4.85,0.000, 34,  2,-18,
,,0.035,0.696,3,0.696,0.036,0.731,  4.96, 4.64,0.000, 51, 39,-10,
,,0.035,0.696,3,0.696,0.038,0.751,  4.95, 4.63,0.000, 39,  2,  4,
