set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,16,0.000,0.000,12036,0.000,0.000,0.000, 11.93,  Inf,0.000,-58,-27, 34,
,,,,,,0.000,0.000,  9.44, 7.78,0.000,-16,-68, 54,
,,,,,,0.000,0.000,  9.02, 7.53,0.000,-33,-46, 50,
,,0.000,0.000,6294,0.000,0.000,0.000, 10.15,  Inf,0.000, 33,-86, -4,
,,,,,,0.000,0.000,  8.78, 7.39,0.000, 38,-82, 10,
,,,,,,0.000,0.000,  8.32, 7.10,0.000, 38,-74, 28,
,,0.000,0.000,1599,0.000,0.000,0.000,  9.31, 7.71,0.000,-51,  6, 30,
,,,,,,0.006,0.141,  5.43, 5.02,0.000,-52,  6,  9,
,,0.000,0.000,3203,0.000,0.000,0.000,  8.75, 7.37,0.000, -4, 21, 44,
,,,,,,0.000,0.000,  8.39, 7.14,0.000, -4, 27, 38,
,,,,,,0.029,0.606,  5.00, 4.67,0.000, -2, 18, 27,
,,0.000,0.000,1141,0.000,0.000,0.000,  8.00, 6.89,0.000,-26,  0, 52,
,,0.000,0.000,2101,0.000,0.000,0.000,  7.69, 6.68,0.000, 32, 24,  4,
,,,,,,0.000,0.000,  7.41, 6.49,0.000, 51,  9, 27,
,,,,,,0.003,0.070,  5.65, 5.19,0.000, 50, 15,  4,
,,0.000,0.000,1054,0.000,0.000,0.000,  7.52, 6.56,0.000,-34, 20,  6,
,,0.000,0.000,1034,0.000,0.000,0.002,  6.60, 5.92,0.000,-44, 39,  6,
,,,,,,0.000,0.012,  6.16, 5.59,0.000,-42, 33, 27,
,,,,,,0.001,0.039,  5.84, 5.34,0.000,-30, 48, 14,
,,0.000,0.000,526,0.000,0.000,0.006,  6.36, 5.73,0.000, 30, -2, 52,
,,0.007,0.192,43,0.144,0.002,0.045,  5.79, 5.30,0.000,-36, -2, 15,
,,0.001,0.039,114,0.024,0.003,0.080,  5.61, 5.16,0.000, -8,-24,-12,
,,0.007,0.192,45,0.136,0.006,0.141,  5.43, 5.02,0.000,-12,-15,  9,
,,0.017,0.400,19,0.325,0.013,0.278,  5.23, 4.85,0.000, 12,-14, 10,
,,0.034,0.768,4,0.672,0.038,0.791,  4.91, 4.60,0.000, -4,-33,-26,
,,0.043,0.854,1,0.854,0.045,0.920,  4.86, 4.55,0.000,  6,-18,-16,
,,0.039,0.830,2,0.778,0.048,0.952,  4.85, 4.54,0.000,  0,  9, 28,
