set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,1583,0.000,0.000,0.000,  7.93, 7.19,0.000,-24,-75,-10,
,,,,,,0.000,0.000,  7.56, 6.90,0.000,-28,-60,-10,
,,,,,,0.002,0.072,  5.54, 5.26,0.000, -8,-81, -3,
,,0.000,0.000,2335,0.000,0.000,0.000,  7.28, 6.69,0.000, 28,-66, -9,
,,,,,,0.000,0.015,  6.09, 5.72,0.000, 18,-75,-10,
,,,,,,0.000,0.020,  5.98, 5.63,0.000, 39,-78,-10,
,,0.002,0.109,72,0.047,0.001,0.032,  5.79, 5.47,0.000,-21,-86, 38,
,,0.006,0.221,40,0.126,0.002,0.070,  5.58, 5.29,0.000,-32,-84,  2,
,,0.012,0.321,24,0.230,0.017,0.415,  5.06, 4.83,0.000,-26,-84, 12,
,,0.022,0.513,10,0.440,0.026,0.559,  4.93, 4.73,0.000,-18,-87, 24,
,,0.042,0.838,1,0.838,0.041,0.819,  4.81, 4.62,0.000,-24,-87,  4,
