set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,25,0.000,0.000,2857,0.000,0.000,0.001,  6.40, 5.98,0.000,-48,-74, 30,
,,,,,,0.001,0.003,  5.80, 5.48,0.000,-40,-78, 36,
,,,,,,0.143,0.140,  4.33, 4.19,0.000,-40,-62, 32,
,,0.000,0.000,9176,0.000,0.005,0.017,  5.27, 5.02,0.000, -2,-87, 14,
,,,,,,0.007,0.019,  5.18, 4.94,0.000,-10,-93, 14,
,,,,,,0.017,0.039,  4.95, 4.74,0.000, -2,-63, 16,
,,0.073,0.083,589,0.017,0.025,0.049,  4.84, 4.65,0.000, 48,-69, 32,
,,0.023,0.032,860,0.005,0.028,0.049,  4.81, 4.62,0.000, 30, 27, 52,
,,,,,,0.327,0.257,  4.04, 3.92,0.000, 26, 42, 42,
,,0.012,0.022,1025,0.003,0.078,0.092,  4.52, 4.36,0.000,-56,-48, -6,
,,,,,,0.672,0.488,  3.70, 3.60,0.000,-51,-42,  0,
,,,,,,0.891,0.629,  3.44, 3.37,0.000,-56,-36, 10,
,,0.363,0.309,250,0.099,0.256,0.202,  4.13, 4.01,0.000,-27, 38, 45,
,,,,,,0.745,0.488,  3.62, 3.53,0.000,-21, 44, 44,
,,,,,,0.958,0.847,  3.30, 3.23,0.001,-22, 36, 36,
,,0.269,0.287,311,0.069,0.457,0.362,  3.90, 3.79,0.000, 64, -9,  8,
,,,,,,0.957,0.847,  3.30, 3.23,0.001, 51, -8, 20,
,,0.356,0.309,254,0.097,0.644,0.488,  3.72, 3.63,0.000, 64, -6, 27,
,,0.862,0.777,54,0.435,0.653,0.488,  3.71, 3.62,0.000, 20,-22, 66,
,,,,,,0.939,0.776,  3.35, 3.28,0.001, 30,-22, 64,
,,0.694,0.542,111,0.260,0.676,0.488,  3.69, 3.60,0.000,  2, 54, -8,
,,0.628,0.494,134,0.217,0.707,0.488,  3.66, 3.57,0.000, 12,-54, -8,
,,0.478,0.357,193,0.143,0.715,0.488,  3.65, 3.56,0.000, 45,-10, 52,
,,0.476,0.357,194,0.142,0.717,0.488,  3.65, 3.56,0.000,-20,-38, -8,
,,,,,,0.791,0.508,  3.57, 3.49,0.000,-27,-36,-10,
,,0.935,0.918,26,0.600,0.732,0.488,  3.64, 3.55,0.000,-54,-15,  2,
,,0.795,0.670,77,0.348,0.784,0.508,  3.58, 3.50,0.000, 46,-32, 15,
,,0.942,0.918,23,0.624,0.869,0.602,  3.48, 3.40,0.000, 57, -2, -8,
,,0.955,0.943,17,0.680,0.964,0.869,  3.28, 3.21,0.001,-62, -8, 32,
,,0.930,0.918,28,0.584,0.966,0.869,  3.28, 3.21,0.001, 39,-15, 38,
,,,,,,0.989,0.989,  3.16, 3.10,0.001, 36,-15, 48,
,,0.977,0.943,6,0.825,0.974,0.919,  3.24, 3.18,0.001, 40,-54, 21,
,,0.973,0.943,8,0.792,0.977,0.939,  3.23, 3.16,0.001, -9,-40,  3,
,,0.978,0.943,5,0.843,0.987,0.989,  3.17, 3.11,0.001, 24,-68, -2,
,,0.986,0.943,1,0.943,0.987,0.989,  3.17, 3.11,0.001,-10,-24, 46,
,,0.986,0.943,1,0.943,0.988,0.989,  3.17, 3.10,0.001,-60,-12, 16,
,,0.984,0.943,2,0.912,0.988,0.989,  3.16, 3.10,0.001,-15,-75, 22,
,,0.982,0.943,3,0.886,0.988,0.989,  3.16, 3.10,0.001,-54, -8, 36,
