set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,58,0.000,0.000,235,0.000,0.000,0.000,  9.45,  Inf,0.000, 51,-72,-24,
,,,,,,0.000,0.000,  6.80, 6.14,0.000, 57,-63,-27,
,,,,,,0.003,0.002,  5.78, 5.35,0.000, 60,-54,-27,
,,0.000,0.000,4366,0.000,0.000,0.000,  8.91, 7.61,0.000,-24,-33, -3,
,,,,,,0.000,0.000,  8.77, 7.52,0.000,  0,-15,  3,
,,,,,,0.000,0.000,  8.01, 7.01,0.000, 15, 33, 27,
,,0.000,0.000,36,0.000,0.000,0.000,  8.85, 7.56,0.000,-48, 27, 42,
,,,,,,0.000,0.000,  8.15, 7.10,0.000,-42, 42, 36,
,,,,,,0.000,0.000,  7.38, 6.56,0.000,-30, 36, 51,
,,0.000,0.000,332,0.000,0.000,0.000,  7.85, 6.90,0.000,-39,-24, 21,
,,,,,,0.000,0.000,  7.11, 6.37,0.000,-18,-27, 42,
,,,,,,0.000,0.000,  6.98, 6.28,0.000,-48,-12, 18,
,,0.769,0.093,5,0.019,0.000,0.000,  7.18, 6.42,0.000, 36, 36,-21,
,,0.000,0.000,30,0.000,0.000,0.000,  6.94, 6.25,0.000, 63, 15, 12,
,,,,,,0.000,0.000,  6.82, 6.16,0.000, 63, 12, 30,
,,,,,,0.000,0.001,  6.22, 5.69,0.000, 63, 18, 24,
,,0.000,0.000,85,0.000,0.000,0.000,  6.78, 6.12,0.000, 57, 39,  9,
,,,,,,0.000,0.000,  6.65, 6.03,0.000, 51, 45, 21,
,,,,,,0.000,0.000,  6.59, 5.98,0.000, 57, 36, 21,
,,0.289,0.035,8,0.004,0.000,0.000,  6.77, 6.11,0.000,-57, -6,-39,
,,,,,,0.350,0.035,  4.64, 4.40,0.000,-54,  3,-39,
,,0.000,0.000,114,0.000,0.000,0.000,  6.56, 5.96,0.000, 54,-51, 54,
,,,,,,0.000,0.001,  6.26, 5.73,0.000, 42,-60, 60,
,,,,,,0.004,0.002,  5.68, 5.27,0.000, 45,-72, 48,
,,0.000,0.000,47,0.000,0.000,0.000,  6.42, 5.85,0.000, 69,-12, 27,
,,,,,,0.000,0.001,  6.28, 5.74,0.000, 69,-18, 36,
,,,,,,0.005,0.003,  5.64, 5.24,0.000, 69, -3, 21,
,,0.000,0.000,77,0.000,0.000,0.001,  6.22, 5.70,0.000, 18,-48,  6,
,,,,,,0.007,0.003,  5.57, 5.18,0.000, 15,-48, 18,
,,,,,,0.021,0.006,  5.33, 4.98,0.000, 18,-54, 24,
,,0.000,0.000,43,0.000,0.000,0.001,  6.22, 5.69,0.000, 36,-60,-12,
,,,,,,0.005,0.003,  5.65, 5.24,0.000, 36,-48, -9,
,,,,,,0.988,0.091,  4.24, 4.06,0.000, 27,-72, -6,
,,0.000,0.000,44,0.000,0.001,0.001,  6.14, 5.64,0.000, 69,-45, 12,
,,,,,,0.032,0.008,  5.22, 4.89,0.000, 72,-39,  6,
,,,,,,0.050,0.010,  5.12, 4.81,0.000, 69,-45, -3,
,,0.197,0.025,9,0.003,0.001,0.001,  6.03, 5.55,0.000, 27,-21, 63,
,,0.585,0.066,6,0.011,0.001,0.001,  6.01, 5.53,0.000,-54, 36, 18,
,,,,,,0.197,0.024,  4.78, 4.52,0.000,-54, 30, 27,
,,0.769,0.093,5,0.019,0.001,0.001,  6.00, 5.53,0.000, 18,-51, 78,
,,0.197,0.025,9,0.003,0.001,0.001,  5.99, 5.52,0.000,  9,-72,-45,
,,0.197,0.025,9,0.003,0.001,0.001,  5.95, 5.49,0.000, 33,-21, 21,
,,0.000,0.000,115,0.000,0.001,0.001,  5.94, 5.48,0.000,-15, 27, 39,
,,,,,,0.008,0.003,  5.56, 5.17,0.000,-15, 39, 27,
,,,,,,0.016,0.005,  5.39, 5.03,0.000,-12, 36, 36,
,,0.418,0.050,7,0.007,0.002,0.002,  5.83, 5.39,0.000, 33, 42, 48,
,,,,,,0.004,0.002,  5.71, 5.29,0.000, 39, 36, 48,
,,0.000,0.000,30,0.000,0.003,0.002,  5.78, 5.34,0.000,-30,-42, 39,
,,,,,,0.020,0.006,  5.33, 4.98,0.000,-30,-33, 45,
,,,,,,0.191,0.024,  4.79, 4.53,0.000,-42,-27, 36,
,,0.090,0.014,11,0.001,0.004,0.002,  5.72, 5.30,0.000,-27,  9,  9,
,,,,,,1.000,0.237,  3.86, 3.71,0.000,-21, 15,  9,
,,0.000,0.000,77,0.000,0.004,0.002,  5.71, 5.30,0.000, 54,  0, 33,
,,,,,,0.009,0.004,  5.51, 5.13,0.000, 51, -3, 18,
,,,,,,0.023,0.006,  5.30, 4.95,0.000, 54,-12, 21,
,,0.585,0.066,6,0.011,0.004,0.002,  5.69, 5.28,0.000, 63,  3, 36,
,,,,,,0.957,0.070,  4.36, 4.15,0.000, 63, -6, 42,
,,0.007,0.001,18,0.000,0.004,0.002,  5.68, 5.27,0.000, 21,-63, 72,
,,,,,,0.014,0.004,  5.42, 5.06,0.000, 33,-57, 69,
,,,,,,0.114,0.017,  4.92, 4.64,0.000, 24,-51, 75,
,,0.000,0.000,27,0.000,0.018,0.005,  5.35, 5.00,0.000,-21,-69, 66,
,,,,,,0.123,0.018,  4.90, 4.62,0.000,-27,-63, 66,
,,,,,,0.173,0.023,  4.82, 4.55,0.000, -9,-72, 63,
,,0.005,0.001,19,0.000,0.021,0.006,  5.33, 4.98,0.000,-42,-75, 48,
,,,,,,0.295,0.031,  4.68, 4.44,0.000,-48,-72, 39,
,,,,,,0.724,0.055,  4.45, 4.24,0.000,-24,-78, 54,
,,0.029,0.005,14,0.000,0.036,0.009,  5.19, 4.87,0.000,-48, 15,-21,
,,,,,,1.000,0.154,  4.04, 3.88,0.000,-42, 15,-30,
,,0.029,0.005,14,0.000,0.037,0.009,  5.19, 4.87,0.000, 42, 24, 15,
,,,,,,0.569,0.047,  4.52, 4.29,0.000, 36, 30, 12,
,,0.042,0.007,13,0.001,0.043,0.009,  5.15, 4.84,0.000, 30, 21, 30,
,,,,,,0.461,0.042,  4.57, 4.34,0.000, 30, 18, 39,
,,0.585,0.066,6,0.011,0.072,0.013,  5.03, 4.73,0.000,-36,  6, 45,
,,0.000,0.000,28,0.000,0.074,0.013,  5.02, 4.73,0.000, 15, 54,  6,
,,,,,,0.549,0.047,  4.52, 4.30,0.000, 12, 63,  0,
,,,,,,1.000,0.429,  3.59, 3.47,0.000, 18, 45,  6,
,,0.197,0.025,9,0.003,0.126,0.018,  4.89, 4.62,0.000, 66, -6,-24,
,,,,,,1.000,0.744,  3.33, 3.23,0.001, 60,-15,-18,
,,0.418,0.050,7,0.007,0.130,0.019,  4.89, 4.61,0.000, 18,-69, 66,
,,0.061,0.011,12,0.001,0.148,0.020,  4.85, 4.58,0.000,-15,-54, 18,
,,0.090,0.014,11,0.001,0.167,0.022,  4.82, 4.56,0.000, 12, 54, 18,
,,0.585,0.066,6,0.011,0.170,0.022,  4.82, 4.55,0.000,-54,-24, -3,
,,0.197,0.025,9,0.003,0.193,0.024,  4.79, 4.53,0.000,-48,-33,-21,
,,0.197,0.025,9,0.003,0.234,0.027,  4.74, 4.49,0.000,  9,-42, 39,
,,0.418,0.050,7,0.007,0.568,0.047,  4.52, 4.29,0.000,-48,-36,  0,
,,0.769,0.093,5,0.019,0.735,0.055,  4.45, 4.24,0.000, 63,-63, 15,
,,0.769,0.093,5,0.019,0.784,0.058,  4.43, 4.22,0.000, 33,-87,-42,
,,0.585,0.066,6,0.011,0.909,0.064,  4.39, 4.19,0.000,-45, 30,  0,
,,0.090,0.014,11,0.001,0.952,0.068,  4.37, 4.16,0.000,-42, -9,-45,
,,,,,,1.000,0.385,  3.64, 3.51,0.000,-36,-12,-39,
,,,,,,1.000,0.663,  3.38, 3.28,0.001,-39,-18,-45,
,,0.289,0.035,8,0.004,0.966,0.074,  4.33, 4.14,0.000, 48,-27, 30,
,,0.585,0.066,6,0.011,0.977,0.081,  4.30, 4.10,0.000, 45,  3,-39,
,,0.197,0.025,9,0.003,0.979,0.082,  4.29, 4.10,0.000, 21,-78, -6,
,,,,,,1.000,0.393,  3.63, 3.50,0.000, 30,-78, -9,
,,0.418,0.050,7,0.007,0.988,0.091,  4.25, 4.06,0.000, 45, 57,  9,
,,0.585,0.066,6,0.011,0.998,0.123,  4.13, 3.96,0.000,-30, 12, -3,
,,,,,,1.000,0.334,  3.71, 3.58,0.000,-24, 18,  3,
,,0.769,0.093,5,0.019,1.000,0.150,  4.05, 3.89,0.000, 42, 24, 54,
,,0.585,0.066,6,0.011,1.000,0.218,  3.89, 3.75,0.000,-24,-87,-21,
,,0.289,0.035,8,0.004,1.000,0.238,  3.86, 3.71,0.000, 60,-24,-30,
,,0.585,0.066,6,0.011,1.000,0.251,  3.83, 3.69,0.000,-36,  3,-48,
,,0.769,0.093,5,0.019,1.000,0.258,  3.82, 3.68,0.000, 36,-12,-51,
,,0.769,0.093,5,0.019,1.000,0.299,  3.76, 3.62,0.000, 39,-84,-45,
,,0.769,0.093,5,0.019,1.000,0.356,  3.67, 3.55,0.000,  0,-39,  6,
,,0.289,0.035,8,0.004,1.000,0.432,  3.58, 3.46,0.000, 24,-87, 42,
,,,,,,1.000,0.468,  3.55, 3.43,0.000, 33,-87, 33,
,,0.769,0.093,5,0.019,1.000,0.585,  3.44, 3.33,0.000, 36,-90, 21,
