set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,14,0.000,0.000,66,0.000,0.000,0.000,  8.47, 7.82,0.000, 57, -3, 45,
,,0.000,0.000,57,0.000,0.000,0.000,  8.02, 7.47,0.000, 54, 39, 21,
,,,,,,0.000,0.003,  6.74, 6.40,0.000, 54, 45,  0,
,,,,,,0.000,0.052,  5.97, 5.72,0.000, 54, 45,  9,
,,0.000,0.002,17,0.000,0.000,0.001,  7.06, 6.68,0.000, 21, 48,-21,
,,,,,,0.037,0.826,  5.02, 4.87,0.000, 15, 36,-21,
,,0.000,0.030,8,0.008,0.000,0.004,  6.66, 6.33,0.000, 54,-57, 54,
,,0.000,0.001,21,0.000,0.000,0.019,  6.26, 5.98,0.000, -6, 48, 15,
,,,,,,0.006,0.248,  5.42, 5.23,0.000, -9, 51, 24,
,,0.000,0.000,45,0.000,0.000,0.019,  6.25, 5.97,0.000,-21, -3, 72,
,,,,,,0.001,0.074,  5.87, 5.64,0.000,-12,  3, 72,
,,0.001,0.050,6,0.018,0.000,0.031,  6.12, 5.86,0.000, 18,-72, 63,
,,0.000,0.010,12,0.002,0.000,0.052,  5.99, 5.74,0.000, -9, 51, 39,
,,0.000,0.001,23,0.000,0.001,0.074,  5.86, 5.63,0.000, -3, 18, 33,
,,,,,,0.001,0.084,  5.81, 5.59,0.000, -3, 12, 39,
,,,,,,0.001,0.123,  5.69, 5.48,0.000, -3,  3, 42,
,,0.000,0.017,10,0.004,0.001,0.121,  5.71, 5.49,0.000, 15,-33, 36,
,,,,,,0.006,0.250,  5.41, 5.23,0.000, 21,-33, 42,
,,0.001,0.035,7,0.012,0.003,0.162,  5.57, 5.37,0.000, 72,-33, -9,
,,0.001,0.035,7,0.012,0.004,0.192,  5.51, 5.32,0.000,  9, 51, -9,
,,0.000,0.022,9,0.005,0.005,0.248,  5.44, 5.26,0.000,-12, 63, 15,
,,0.001,0.035,7,0.012,0.007,0.263,  5.38, 5.20,0.000, 63,-51,  9,
