set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.000,0.021,18,0.003,0.000,0.000,  6.66, 6.33,0.000,-18,-57,21,
,,0.000,0.021,19,0.003,0.000,0.003,  6.08, 5.83,0.000, 45,-78,42,
,,,,,,0.025,0.540,  4.44, 4.33,0.000, 36,-84,39,
,,0.000,0.021,17,0.004,0.000,0.003,  5.97, 5.73,0.000, -3,-27,24,
,,0.000,0.031,14,0.008,0.000,0.003,  5.93, 5.69,0.000, -3,-81,33,
,,,,,,0.000,0.003,  5.93, 5.69,0.000,-12,-69,30,
,,0.001,0.051,11,0.016,0.000,0.016,  5.50, 5.31,0.000,  3, 33,21,
,,0.002,0.125,7,0.047,0.002,0.071,  5.11, 4.95,0.000, 15,-48,18,
,,,,,,0.008,0.233,  4.74, 4.61,0.000, 21,-54,24,
