set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,75,0.000,0.000,0.000,  9.45,  Inf,0.000,-33, 21,  3,
,,,,,,0.000,0.000,  9.06,  Inf,0.000,-51, 12, -3,
,,0.000,0.000,249,0.000,0.000,0.000,  8.35, 7.74,0.000,  0, 18, 45,
,,,,,,0.000,0.000,  7.69, 7.20,0.000,  0, 12, 57,
,,,,,,0.000,0.000,  6.72, 6.38,0.000, -3, 33, 36,
,,0.000,0.000,63,0.000,0.000,0.000,  7.13, 6.73,0.000, 45, 18, -9,
,,,,,,0.000,0.000,  6.05, 5.80,0.000, 36, 21,  3,
,,,,,,0.000,0.001,  5.95, 5.71,0.000, 51, 15, -3,
,,0.003,0.065,6,0.054,0.004,0.094,  4.75, 4.63,0.000, 66,-36, 36,
,,0.001,0.033,9,0.022,0.006,0.126,  4.66, 4.54,0.000,-27, 42, 18,
