set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,475,0.000,0.000,0.000,  9.85,  Inf,0.000, -6, 36, 15,
,,,,,,0.000,0.000,  9.26,  Inf,0.000,  0, 54, 12,
,,,,,,0.000,0.000,  8.56,  Inf,0.000, -3, 48, 21,
,,0.000,0.000,138,0.000,0.000,0.000,  8.77,  Inf,0.000,-30, 48, 15,
,,,,,,0.000,0.001,  6.70, 6.37,0.000,-24, 39, 36,
,,0.000,0.000,49,0.000,0.000,0.000,  7.45, 7.00,0.000,  3,-30, 33,
,,,,,,0.000,0.008,  6.22, 5.94,0.000, -3,-24, 36,
,,0.000,0.000,31,0.000,0.000,0.004,  6.46, 6.16,0.000, -3, 12, 21,
,,0.000,0.000,16,0.000,0.000,0.008,  6.22, 5.95,0.000,-48,-39, 51,
,,0.000,0.009,8,0.004,0.000,0.008,  6.22, 5.95,0.000,-30,  6, 12,
,,0.000,0.001,14,0.000,0.000,0.009,  6.20, 5.93,0.000,-15,-30, 12,
