set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,15,0.024,0.081,77,0.002,0.112,0.479,  4.60, 4.49,0.000,-60,-33, 12,
,,,,,,0.772,0.831,  3.87, 3.80,0.000,-54,-27, 18,
,,,,,,0.945,0.845,  3.64, 3.58,0.000,-66,-30,  6,
,,0.274,0.505,34,0.029,0.558,0.831,  4.05, 3.97,0.000, 57,-33, 18,
,,0.984,0.713,5,0.372,0.644,0.831,  3.98, 3.90,0.000,-15,-15,-45,
,,0.974,0.713,6,0.327,0.806,0.831,  3.83, 3.76,0.000,-39,-18, 21,
,,0.461,0.512,25,0.055,0.834,0.831,  3.80, 3.73,0.000, 54,  0,  6,
,,0.924,0.713,9,0.231,0.878,0.831,  3.75, 3.69,0.000,-27,-93, 24,
,,0.902,0.713,10,0.208,0.901,0.831,  3.72, 3.65,0.000,-54, -9, 48,
,,0.984,0.713,5,0.372,0.906,0.831,  3.71, 3.65,0.000, 54,-57,  3,
,,0.367,0.505,29,0.041,0.911,0.831,  3.70, 3.64,0.000, 12, -3, 48,
,,,,,,0.958,0.845,  3.61, 3.55,0.000, -3,-12, 48,
,,0.924,0.713,9,0.231,0.963,0.845,  3.60, 3.54,0.000, 51, 12,-12,
,,0.759,0.713,15,0.128,0.965,0.845,  3.59, 3.53,0.000, 54, -3,-15,
,,0.877,0.713,11,0.187,0.983,0.909,  3.52, 3.47,0.000, 39,  6, 24,
,,,,,,0.993,0.909,  3.45, 3.40,0.000, 48,  3, 24,
,,0.984,0.713,5,0.372,0.990,0.909,  3.48, 3.43,0.000,-60, -3,  6,
,,0.944,0.713,8,0.258,0.994,0.909,  3.44, 3.39,0.000,-45,-75, 21,
,,0.984,0.713,5,0.372,0.999,0.909,  3.30, 3.26,0.001,-42, -3, 18,
