set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,13,0.545,0.714,22,0.071,0.751,0.670,  3.88, 3.81,0.000,-18,-33, 72,
,,0.850,0.714,12,0.171,0.752,0.670,  3.88, 3.81,0.000,  9,  9, 57,
,,0.030,0.070,73,0.003,0.815,0.670,  3.82, 3.75,0.000,-33,-27, 63,
,,,,,,0.990,0.670,  3.47, 3.42,0.000,-42,-27, 51,
,,,,,,0.996,0.670,  3.41, 3.36,0.000,-42,-24, 42,
,,0.961,0.714,7,0.292,0.888,0.670,  3.74, 3.67,0.000,-42,-21, 18,
,,0.984,0.714,5,0.374,0.916,0.670,  3.69, 3.63,0.000, 30,-21, 69,
,,0.791,0.714,14,0.141,0.918,0.670,  3.69, 3.63,0.000, 15,-75,-12,
,,0.791,0.714,14,0.141,0.938,0.670,  3.65, 3.59,0.000, 72,-30,  9,
,,,,,,0.994,0.670,  3.44, 3.39,0.000, 69,-21, 12,
,,0.924,0.714,9,0.233,0.970,0.670,  3.57, 3.52,0.000,-63,-30,  9,
,,0.961,0.714,7,0.292,0.982,0.670,  3.53, 3.47,0.000,-39,-33, 18,
,,0.984,0.714,5,0.374,0.988,0.670,  3.49, 3.43,0.000,-54,-24, 18,
,,0.984,0.714,5,0.374,0.992,0.670,  3.45, 3.40,0.000,-57,-15,  0,
,,0.944,0.714,8,0.260,0.993,0.670,  3.44, 3.39,0.000, 24, -3, 72,
,,0.984,0.714,5,0.374,0.998,0.670,  3.37, 3.32,0.000,-39,  3, 12,
