set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,15,0.133,0.198,50,0.014,0.244,0.418,  4.34, 4.24,0.000,  0, 57, 36,
,,,,,,0.549,0.482,  4.03, 3.95,0.000, -3, 66, 27,
,,0.003,0.009,130,0.000,0.257,0.418,  4.32, 4.22,0.000, 51,-27,-12,
,,,,,,0.283,0.418,  4.29, 4.19,0.000, 69,-30,-15,
,,,,,,0.593,0.482,  3.99, 3.91,0.000, 72,-36, -6,
,,0.943,0.710,8,0.285,0.358,0.419,  4.20, 4.11,0.000, 54,  0, 18,
,,0.523,0.514,24,0.073,0.670,0.482,  3.93, 3.85,0.000, 30, 63,  0,
,,0.746,0.545,16,0.136,0.683,0.482,  3.91, 3.84,0.000,  3, 66,-15,
,,0.660,0.541,19,0.107,0.777,0.566,  3.83, 3.76,0.000, 12, 72, 12,
,,0.881,0.710,11,0.212,0.895,0.708,  3.69, 3.63,0.000, 21, 39, 51,
,,0.688,0.541,18,0.116,0.922,0.728,  3.65, 3.59,0.000,  0, 27, 63,
,,,,,,0.933,0.728,  3.63, 3.57,0.000,  0, 36, 60,
,,0.972,0.710,6,0.355,0.949,0.748,  3.60, 3.54,0.000, 60,  3,-27,
,,0.972,0.710,6,0.355,0.966,0.787,  3.55, 3.49,0.000, 54,  0,-42,
,,0.473,0.514,26,0.064,0.973,0.787,  3.53, 3.47,0.000,-57,-33,-12,
,,,,,,0.997,0.848,  3.34, 3.29,0.000,-45,-36, -6,
,,0.972,0.710,6,0.355,0.977,0.787,  3.51, 3.46,0.000,  0, -6, 72,
,,,,,,1.000,0.890,  3.22, 3.18,0.001,  0,  3, 69,
,,0.982,0.729,5,0.399,0.994,0.848,  3.40, 3.35,0.000,-45, 27, -9,
,,0.943,0.710,8,0.285,0.996,0.848,  3.37, 3.32,0.000, 36, 30, 27,
,,0.959,0.710,7,0.317,0.998,0.848,  3.32, 3.27,0.001, 51, -6,-27,
