set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.053,8,0.982,0.728,5,0.396,0.725,0.995,  3.88, 3.81,0.000,  0, 30,-30,
,,0.943,0.728,8,0.282,0.823,0.995,  3.79, 3.72,0.000,-30,-36,-45,
,,0.445,0.728,27,0.058,0.840,0.995,  3.77, 3.70,0.000, 66,  3, 24,
,,0.802,0.728,14,0.159,0.841,0.995,  3.77, 3.70,0.000, -3,-18, 78,
,,0.628,0.728,20,0.097,0.924,0.995,  3.65, 3.59,0.000,-51,-60, 30,
,,,,,,0.997,0.995,  3.36, 3.31,0.000,-48,-51, 27,
,,0.943,0.728,8,0.282,0.982,0.995,  3.50, 3.44,0.000,-45,-12, 24,
,,0.881,0.728,11,0.209,0.984,0.995,  3.48, 3.43,0.000, 12,-39, 66,
,,0.881,0.728,11,0.209,0.999,0.995,  3.29, 3.25,0.001,-36,-27, 60,
