set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,16,0.000,0.001,129,0.000,0.358,0.540,  4.33, 4.23,0.000, 51,-15, 45,
,,,,,,0.587,0.540,  4.13, 4.04,0.000, 18,-30, 69,
,,,,,,0.968,0.548,  3.70, 3.63,0.000, 33,-24, 48,
,,0.045,0.038,52,0.003,0.596,0.540,  4.12, 4.04,0.000, 15,-48, -6,
,,0.177,0.063,34,0.013,0.725,0.540,  4.02, 3.93,0.000, 60, -9, -3,
,,0.444,0.136,22,0.038,0.758,0.540,  3.99, 3.91,0.000, 48,-69,  9,
,,0.329,0.108,26,0.026,0.775,0.540,  3.97, 3.89,0.000,-60,-12,  0,
,,0.825,0.281,12,0.113,0.821,0.540,  3.93, 3.85,0.000, 39, -9, 12,
,,0.587,0.179,18,0.057,0.918,0.548,  3.81, 3.74,0.000,-18,-21, 12,
,,,,,,0.998,0.739,  3.48, 3.43,0.000, -9,-24,  9,
,,0.152,0.063,36,0.011,0.927,0.548,  3.79, 3.72,0.000,-18,-57, -3,
,,,,,,1.000,0.739,  3.39, 3.34,0.000, -9,-60, -9,
,,0.893,0.301,10,0.145,0.964,0.548,  3.71, 3.64,0.000, 63, -9, 21,
,,0.111,0.063,40,0.008,0.964,0.548,  3.71, 3.64,0.000,  0,-21, 54,
,,,,,,0.982,0.556,  3.64, 3.58,0.000,  6,-21, 60,
,,,,,,1.000,0.739,  3.38, 3.33,0.000,  9,-15, 48,
,,0.747,0.247,14,0.089,0.974,0.548,  3.68, 3.61,0.000,  6,-18,  9,
,,0.965,0.389,7,0.218,0.997,0.739,  3.51, 3.45,0.000,  0,-30,  3,
,,0.860,0.289,11,0.127,0.999,0.739,  3.45, 3.40,0.000, -6,-78, 18,
,,0.990,0.462,5,0.296,0.999,0.739,  3.44, 3.39,0.000, 18,-24,  0,
,,0.965,0.389,7,0.218,1.000,0.739,  3.41, 3.36,0.000, 18,-63, 12,
,,0.980,0.421,6,0.253,1.000,0.739,  3.35, 3.30,0.000,-30,-30, 63,
