set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,10,0.000,0.000,73,0.000,0.061,0.224,  5.07, 4.76,0.000, 24,-66,-60,
,,,,,,0.071,0.224,  5.04, 4.74,0.000, 18,-60,-60,
,,,,,,0.362,0.311,  4.63, 4.39,0.000,  9,-63,-60,
,,0.032,0.007,9,0.000,0.333,0.311,  4.65, 4.41,0.000,-15,-66,-60,
,,,,,,1.000,0.669,  3.92, 3.77,0.000,-27,-66,-60,
,,0.002,0.001,14,0.000,0.755,0.353,  4.45, 4.23,0.000, 24,-18, 75,
,,0.110,0.022,7,0.001,1.000,0.584,  4.08, 3.91,0.000,  9, 12,-27,
,,,,,,1.000,0.877,  3.53, 3.42,0.000,  6,  3,-33,
,,0.378,0.053,5,0.004,1.000,0.619,  4.02, 3.86,0.000, -9,-15, -9,
,,0.002,0.001,14,0.000,1.000,0.669,  3.92, 3.77,0.000,-18,  0, 72,
,,,,,,1.000,0.910,  3.49, 3.38,0.000, -9, -9, 72,
,,0.378,0.053,5,0.004,1.000,0.813,  3.72, 3.59,0.000, 21, -3, 72,
,,0.032,0.007,9,0.000,1.000,0.840,  3.68, 3.55,0.000, 18, 15, 69,
,,0.378,0.053,5,0.004,1.000,0.846,  3.64, 3.51,0.000,  6,-42,-30,
,,0.378,0.053,5,0.004,1.000,0.922,  3.46, 3.36,0.000, 12,  3, 75,
